GISID,"	SOURCE","	ADMINSELECTED","	CALENDAR_YEAR","	STATE_ROUTE","	LOC_ROAD_NAME_RMS","	INTERSECTION_FROM","	segment_from_to","	municipality1",  municipality2,  municipality3," 	DVRPC Regional Priority","	County Priority","	Public Priority","	DVRPC Feasible","	Send to PennDOT","	PennDOT Feasibly", Capacity Analysis Needed,"	Prioritized for Outreach", confirm municipal interest,"	Date of initial contact with muni","	Date letter was received","	Striping plan complete","	Date of completion","	Before/After Counts", For Initial Screening,"	For DVRPC to Screen for Feasiblity","	Pending Review", For PennDOT to Screen for Feasibility, Outreach Prioritization,"	To begin municipal outreach","	Waiting for municipal letter","	Municipal letter received/Needs striping plan","	Approved striping plan shared with maintenance staff","	Completed Projects", Pending Capacity Analysis,"	Beyond scope of resurfacing", Admin Selected, 
2114,5-year plan 2020-2024,Y,2023,272,CHRISTINE RD WE,Maryland State Line,0010_0114,WEST NOTTINGHAM,EAST NOTTINGHAM,,No,No,No,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2115,5-year plan 2022-2026,Y,2026,401,CONESTOGA RD,Pottstown Pk / SR 0100,0170_0230,WEST VINCENT,WEST PIKELAND,UPPER UWCHLAN,No,No,No,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2116,5-year plan 2022-2026,Y,2026,1001,SHIP RD,Boot Rd / SR 2020,0010_0070,WEST WHITELAND,UWCHLAN,,Yes,Yes,No,Yes,Yes,Yes,N/A,No,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2117,5-year plan 2022-2026,N,2024,1010,SWEDESFORD RD,Sweedsford Rd / W. Valley Rd,0024_0040,TREDYFFRIN,,,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2118,5-year plan 2022-2026,Y,2024,1010,SWEDESFORD RD,Sweedsford Rd / W. Valley Rd,0025_0041,TREDYFFRIN,,,No,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2119,5-year plan 2022-2026,Y,2022,1036,POTHOUSE RD,Kimberton Rd / SR 0113,0010_0030,SCHUYLKILL,EAST PIKELAND,,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2120,5-year plan 2020-2024,Y,2021,1015,DARBY PAOLI RD,Bryn Mawr Av / SR 1032,0010_0050,RADNOR,,,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2145,5-year plan 2022-2026,Y,2025,2006,NEW FALLS RD,Middletown / Bristol Twp. Line,0070_0120,FALLS,BRISTOL,,No,No,Yes,Yes,Yes,N/A,N/A,Yes,N/A, ,,N/A,,N/A,0,0,0,1,0,0,0,0,0,0,0,0,0,
2147,5-year plan 2022-2026,Y,2024,2008,HIGHLAND AV,Old Lincoln Hwy / SR 2045,0010_0040,LANGHORNE MANOR,MIDDLETOWN,,Yes,No,Yes,Yes,No,N/A,N/A,No,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2148,5-year plan 2022-2026,Y,2024,2011,CEDAR AV,State Rd / SR 2002,0010_0010,BRISTOL,,,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A, ,,N/A,,N/A,0,0,0,0,0,1,0,0,0,0,0,0,0,
2149,5-year plan 2020-2024,Y,2023,2058,LEGRANDE AV,Bellevue Ave / SR 0513,0011_0011,PENNDEL,,,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2219,5-year plan 2020-2024,Y,2024,3022,COUNTY LINE RD,Gulph Rd / SR 3039,0010_0024,UPPER MERION,,,No,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,1,0,0,0,0,0,0,0,0,0,
2093,5-year plan 2020-2024,Y,2022,3016,MATSONFORD RD,County Line Rd / Delaware Co. Line,0010_0040,WEST  CONSHOHOCKEN,LOWER MERION,,No,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2094,5-year plan 2022-2026,Y,2023,332,NEWTOWN BP,Newtown BP / SR 0413,0192_0212,NEWTOWN,,,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2095,5-year plan 2020-2024,Y,2021,1012,GULPH RD,County Line Rd / SR 3022,0010_0030,TREDYFFRIN,,,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,11/18/2020,26-Jan-21,Under Reivew, ,N/A,0,0,0,0,0,0,0,1,0,0,0,0,0,
2096,5-year plan 2020-2024,Y,2021,2016,PROVIDENCE RD,Sugartown Rd / SR 2022,0012_0082,WILLISTOWN,,,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2097,5-year plan 2020-2024,Y,2021,3018,OXFORD RD,Market St / Hickory Hill Rd / SR 0472,0010_0050,NEW LONDON,EAST NOTTINGHAM,,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2098,5-year plan 2020-2024,Y,2021,4004,DOWLIN FORGE RD,Reeds Rd / SR 4015,0010_0040,UWCHLAN,EAST BRANDYWINE,,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2099,5-year plan 2022-2026,N,2023,2014,PAOLI PK,Market ST / SR 0003,0010_0020,WEST GOSHEN,,,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2100,5-year plan 2022-2026,Y,2023,2014,PAOLI PK,Market ST / SR 0003,0011_0021,WEST GOSHEN,LONDON GROVE,,No,Yes,No,Yes,Yes,Yes,N/A,No,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2101,5-year plan 2022-2026,Y,2024,2020,BOOT RD,CSX RR overpass,0060_0170,WEST WHITELAND,WEST GOSHEN,EAST GOSHEN,Yes,Yes,Yes,Yes,Yes,No,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2102,5-year plan 2022-2026,Y,2022,3002,CHROME RD,Barnsley Rd / SR 3107 / Christine Rd / SR 0272,0010_0050,ELK TOWNSHIP,EAST NOTTINGHAM,,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2103,5-year plan 2022-2026,Y,2023,3033,NEWARK RD,Sunny Dell Rd / SR 3024,0010_0080,WEST MARLBOROUGH,NEW GARDEN,,No,No,No,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2104,5-year plan 2022-2026,Y,2022,3038,BURNT MILL RD,Old Kennett Rd / SR 3036,0010_0040,PENNSBURY,KENNETT,,No,Yes,No,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2105,5-year plan 2022-2026,Y,2022,3057,BRADFORD AV,Downingtown Pk / SR 0322,0010_0010,DOWNINGTOWN,WEST BRADFORD,,No,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2106,5-year plan 2020-2024,Y,2021,13,NINTH ST,Delaware State Line,0010_0120,TRAINER,MARCUS HOOK,CHESTER CITY,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,1/25/2021, 04/09/21,Approved, ,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2107,5-year plan 2020-2024,Y,2021,13,TENTH ST,Delaware State Line,0011_0071,MARCUS HOOK,CHESTER CITY,,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2109,5-year plan 2022-2026,Y,2024,1002,MANOA RD,Eagle Rd / SR 1005,0010_0060,HAVERFORD,,,Yes,No,Yes,Yes,Yes,Yes,N/A,Yes,N/A, ,,N/A,,N/A,0,0,0,0,0,1,0,0,0,0,0,0,0,
2110,5-year plan 2020-2024,Y,2023,1005,WYNNEWOOD RD,Township Line Rd / SR 0001,0080_0090,HAVERFORD,,,No,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2139,5-year plan 2022-2026,Y,2023,2043,BROWNSVILLE RD,Bristol Rd / SR 2025,0050_0080,MIDDLETOWN,LOWER SOUTHAMPTON,,No,No,Yes,No,N/A,N/A,N/A,N/A,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2140,5-year plan 2020-2024,Y,2022,2065,BUSTLETON PK,Bristol Rd / SR 2025,0010_0020,NORTHAMPTON,,,Yes,Yes,Yes,Yes,Yes,No,N/A,Yes,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2141,5-year plan 2022-2026,Y,2023,2071,PINE GROVE RD,Bristol Pk / SR 0013,0010_0070,LOWER MAKEFIELD,FALLS,,Yes,No,Yes,Yes,No,N/A,N/A,N/A,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2142,5-year plan 2020-2024,Y,2022,4019,MINSI TR,Schwenkmill Rd,0050_0060,HILLTOWN,,,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2144,5-year plan 2022-2026,Y,2024,1006,POINT PLEASANT,Old easton Rd,0170_0190,PLUMSTEAD,,,No,Yes,No,No,N/A,N/A,N/A,N/A,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2146,5-year plan 2022-2026,N,2025,2006,NEW FALLS RD,Middletown / Bristol Twp. Line,0085_0085,BRISTOL,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2255,5-year plan 2022-2026,Y,2023,2071,TAYLORSVILLE RD,Dyers Creek / Bridge,0160_0230,UPPER MAKEFIELD,LOWER MAKEFIELD,,No,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2256,5-year plan 2022-2026,Y,2024,213,MAPLE AV,Pine St / SR 0413,0110_0150,LANGHORNE,MIDDLETOWN,,No,Yes,Yes,Yes,No,N/A,N/A,No,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
2257,5-year plan 2022-2026,Y,2022,313,SWAMP RD,Curly Hill Rd / SR 1008,0292_0342,NEW BRITAIN,DOYLESTOWN,,No,Yes,Yes,Yes,Yes,No,N/A,N/A,N/A, ,,N/A,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,
